execution_date,match_date,league,home_team,away_team,market,selection,betfair_odd,model_prob_raw,model_prob_calibrated,fair_odd,edge_inicial,edge_actual,kelly,model_used,confidence_score,unique_id,fixture_id,match_status,actual_result,bet_result,primera_cuota,primera_fecha_hora,ultima_cuota,ultima_fecha_hora,closing_odd,clv_percentage,clv_label
1/4/26 9:31,1/4/26 15:00,Premier League,Everton,Brentford,Over/Under 2.5,Under 2.5,1.67,66.04,66.04,1.51,6.14,6.14,4.6,DC-MLE,N/A,453c22a893968590afea670c31c9e886,,FT,'4-1,Perdida,1.67,1/4/26 9:31,1.62,1/4/26 14:32,,,
1/4/26 9:31,1/4/26 12:30,Premier League,Leeds,Manchester United,Over/Under 2.5,Over 2.5,1.8,70.12,70.12,1.43,14.52,14.52,9.8,DC-MLE,N/A,34871d610ff661ba0ff7cde772f9ce13,,FT,'1-1,Perdida,1.8,1/4/26 9:31,1.8,1/4/26 10:01,,,
1/4/26 9:31,1/4/26 15:00,Premier League,Newcastle,Crystal Palace,Over/Under 2.5,Under 2.5,2,61.84,61.84,1.62,11.84,11.84,7.1,DC-MLE,N/A,de4e28f2e9462a6b586fc00159917f28,,FT,'2-0,Ganada,2,1/4/26 9:31,2,1/4/26 14:32,,,
1/4/26 9:31,1/4/26 15:00,Premier League,Tottenham,Sunderland,Over/Under 2.5,Under 2.5,1.62,73.93,73.93,1.35,12.23,12.23,9.6,DC-MLE,N/A,8b6e5e2f143b20ce2032681531be27dd,,FT,'1-1,Ganada,1.62,1/4/26 9:31,1.67,1/4/26 14:32,,,
1/4/26 9:31,1/4/26 15:00,Championship,Derby,Wrexham,Over/Under 2.5,Over 2.5,2.38,51.8,51.8,1.93,9.8,9.8,5.1,DC-MLE,N/A,7b11d44edd7b3404427e00beb4a678c6,,FT,'1-2,Ganada,2.38,1/4/26 9:31,2.45,1/4/26 14:32,,,
1/4/26 9:31,1/4/26 12:00,Championship,QPR,Sheffield Wednesday,Over/Under 2.5,Over 2.5,1.73,62.27,62.27,1.61,4.47,4.47,3.2,DC-MLE,N/A,97bf8d9f18d10ad39b880c033993f3ac,,FT,'3-0,Ganada,1.73,1/4/26 9:31,1.73,1/4/26 10:01,,,
1/4/26 9:31,1/4/26 15:00,Championship,Blackburn,Charlton,Over/Under 2.5,Under 2.5,1.57,75.81,75.81,1.32,12.11,12.11,10,DC-MLE,N/A,b61b2b32b2be793e006d87ed8a856e53,,FT,'2-2,Perdida,1.57,1/4/26 9:31,1.53,1/4/26 14:32,,,
1/4/26 9:31,1/4/26 15:00,Championship,Middlesbrough,Southampton,Over/Under 2.5,Under 2.5,2.2,51.09,51.09,1.96,5.59,5.59,3.1,DC-MLE,N/A,a9899d834ea9918bc6894404895cae41,,FT,'4-0,Perdida,2.2,1/4/26 9:31,2.2,1/4/26 10:01,,,
1/4/26 9:31,1/4/26 12:00,Championship,Birmingham,Coventry,Over/Under 2.5,Over 2.5,1.8,61.58,61.58,1.62,5.98,5.98,4.1,DC-MLE,N/A,2070df1a1eaf32ee7bab4fdac4a574ef,,FT,'3-2,Ganada,1.8,1/4/26 9:31,1.8,1/4/26 10:01,,,
1/4/26 9:31,1/4/26 15:00,Championship,Norwich,Stoke City,Over/Under 2.5,Under 2.5,1.87,67.38,67.38,1.48,13.88,13.88,9,DC-MLE,N/A,b5f5f19517667897fb8155eac83d5767,,FT,'0-2,Ganada,1.87,1/4/26 9:31,1.9,1/4/26 14:32,,,
1/4/26 9:31,1/4/26 17:30,La Liga,Alaves,Oviedo,Over/Under 2.5,Under 2.5,1.4,83.97,83.97,1.19,12.57,12.57,13.2,DC-MLE,N/A,15289145ca6326b6158c350e194e5141,,FT,'0-0,Ganada,1.4,1/4/26 9:31,1.4,1/4/26 15:20,,,
1/4/26 9:31,1/4/26 17:30,La Liga,Mallorca,Girona,Over/Under 2.5,Over 2.5,2.25,50.86,50.86,1.97,6.46,6.46,3.5,DC-MLE,N/A,b29b9a1022f45525d09641bcb65f4830,,FT,'0-1,Perdida,2.25,1/4/26 9:31,2.25,1/4/26 15:20,,,
1/4/26 9:31,1/4/26 13:00,La Liga,Sevilla,Levante,Over/Under 2.5,Over 2.5,1.87,68.1,68.1,1.47,14.6,14.6,9.4,DC-MLE,N/A,3775d018c8813763f738dcabfe577abf,,FT,'0-1,Perdida,1.87,1/4/26 9:31,1.87,1/4/26 10:01,,,
1/4/26 9:31,1/4/26 11:30,Serie A,Lazio,Napoli,Over/Under 2.5,Under 2.5,1.47,80.03,80.03,1.25,12.03,12.03,11.3,DC-MLE,N/A,947cdaefba42e2cef3e8267713cced39,,FT,'0-2,Ganada,1.47,1/4/26 9:31,1.47,1/4/26 10:01,,,
1/4/26 9:31,1/4/26 17:00,Serie A,Verona,Torino,Over/Under 2.5,Over 2.5,2.63,49.57,49.57,2.02,11.57,11.57,5.6,DC-MLE,N/A,adf3fd2f782dbfc77b05bce53f70d337,,FT,'0-1,Perdida,2.63,1/4/26 9:31,2.63,1/4/26 15:20,,,
1/4/26 9:31,1/4/26 16:15,Ligue 1,Le Havre,Angers,Over/Under 2.5,Under 2.5,1.65,82.43,82.43,1.21,21.83,21.83,16.6,DC-MLE,N/A,a7d3cd6bc270e7df20fd29c5cd524da7,,FT,'1-2,Perdida,1.65,1/4/26 9:31,1.65,1/4/26 15:20,,,
1/4/26 9:31,1/4/26 16:15,Ligue 1,Lorient,Metz,Over/Under 2.5,Over 2.5,1.8,67.98,67.98,1.47,12.38,12.38,8.4,DC-MLE,N/A,5948627242584607c2c9caccac3722ff,,FT,'1-1,Perdida,1.8,1/4/26 9:31,1.87,1/4/26 15:20,,,
1/4/26 9:31,1/4/26 14:00,Ligue 1,Marseille,Nantes,Over/Under 2.5,Over 2.5,1.47,76.48,76.48,1.31,8.48,8.48,7.9,DC-MLE,N/A,f41e146c4a2ad811827a3d6442965deb,,FT,'0-1,Perdida,1.47,1/4/26 9:31,1.47,1/4/26 10:01,,,
1/4/26 9:31,1/5/26 19:45,Ligue 2,Montpellier,Dunkerque,Over/Under 2.5,Under 2.5,1.67,65.38,65.38,1.53,5.48,5.48,4.1,DC-MLE,N/A,2a290aed088fa9dd97903be892ebe1d8,,FT,'1-3,Perdida,1.67,1/4/26 9:31,1.67,1/4/26 15:20,,,
1/4/26 9:31,1/6/26 17:00,Serie A,Lecce,AS Roma,Over/Under 2.5,Under 2.5,1.6,76.4,76.4,1.31,13.9,13.9,11.1,DC-MLE,N/A,35463b1def4ea1cd57c543fcbbbbd204,,FT,'0-2,Ganada,1.6,1/4/26 9:31,1.6,1/5/26 11:24,,,
1/4/26 9:31,1/6/26 14:00,Serie A,Pisa,Como,Over/Under 2.5,Under 2.5,1.75,69.55,69.55,1.44,12.45,12.45,8.7,DC-MLE,N/A,324e330f9a0defe78cb3535d4e2310c0,,FT,'0-3,Perdida,1.75,1/4/26 9:31,1.73,1/5/26 11:24,,,
1/4/26 9:31,1/6/26 19:45,Serie A,Sassuolo,Juventus,Over/Under 2.5,Under 2.5,1.87,58.68,58.68,1.7,5.18,5.18,3.4,DC-MLE,N/A,bef05851c40ab664d25e5b4b579b079a,,FT,'0-3,Perdida,1.87,1/4/26 9:31,1.87,1/6/26 10:51,,,
1/4/26 9:31,1/7/26 19:30,Premier League,Brentford,Sunderland,Over/Under 2.5,Under 2.5,1.8,70.07,70.07,1.43,14.47,14.47,9.8,DC-MLE,N/A,9a11429c205c03baf9155e5850890672,,FT,'3-0,Ganada,1.8,1/4/26 9:31,1.8,1/6/26 10:51,1.65,8.33%,Excelente
1/4/26 9:31,1/7/26 20:15,Premier League,Burnley,Manchester United,Over/Under 2.5,Over 2.5,1.65,65.4,65.4,1.53,4.8,4.8,3.7,DC-MLE,48,c8a3b6c84407cda5848393ba9f8e912d,,FT,'2-2,Ganada,1.65,1/4/26 9:31,1.73,1/5/26 11:24,,,
1/4/26 9:31,1/7/26 19:30,Premier League,Everton,Wolves,Over/Under 2.5,Under 2.5,1.73,66.58,66.58,1.5,8.78,8.78,6.2,DC-MLE,N/A,2724c9489b3e6c4aef66b648c07cb9c4,,FT,'1-1,Ganada,1.73,1/4/26 9:31,1.75,1/6/26 10:51,1.8,4.05%,Regular
1/4/26 9:31,1/7/26 19:45,Serie A,Lazio,Fiorentina,Over/Under 2.5,Under 2.5,1.65,64.99,64.99,1.54,4.39,4.39,3.3,DC-MLE,47,dcf2fc8c070cfedaf861ad879705ef74,,FT,'2-2,Perdida,1.65,1/4/26 9:31,1.65,1/5/26 11:24,,,
1/4/26 9:31,1/7/26 19:45,Serie A,Parma,Inter,Over/Under 2.5,Under 2.5,2.25,53.87,53.87,1.86,9.47,9.47,5.1,DC-MLE,69.7,01496812c9e72229456ba64fae41d4b1,,FT,'0-2,Perdida,2.25,1/4/26 9:31,2.3,1/6/26 10:51,,,
1/4/26 10:01,1/4/26 15:00,Championship,Bristol City,Preston,Over/Under 2.5,Under 2.5,1.87,58.58,58.58,1.71,5.08,5.08,3.3,DC-MLE,N/A,4c7cd8b08213274db7f7464ccf7495d1,,FT,'0-2,Ganada,1.87,1/4/26 10:01,1.87,1/4/26 14:32,,,
1/4/26 14:32,1/4/26 15:15,Segunda División,AD Ceuta FC,FC Andorra,Over/Under 2.5,Under 2.5,1.85,59.98,59.98,1.67,5.88,5.88,3.9,DC-MLE,N/A,25baefb595b1a67d67a86fd1888e8405,,FT,'2-1,Perdida,1.85,1/4/26 14:32,1.85,1/4/26 14:32,,,
1/4/26 14:32,1/5/26 20:00,Championship,Leicester,West Brom,Over/Under 2.5,Over 2.5,2.1,52.16,52.16,1.92,4.56,4.56,2.6,DC-MLE,N/A,154a757f8205b25f569c946af59f308e,,FT,'2-1,Ganada,2.1,1/4/26 14:32,2.1,1/5/26 11:24,,,
